출발지,도착지,거리 (km)
공학1관_앞,기숙사_오르막길1,0.27735657262926267
공학1관_앞,제2엘림생활관,0.260184343539753
공학1관_앞,2관_입구,0.2687546998272711
공학1관_앞,기숙사_오르막길2,0.27893117006452606
공학1관_앞,기숙사_오르막길3,0.2780807401710935
공학1관_앞,기숙사_오르막길4,0.27749665966457765
공학1관_앞,기숙사_오르막길5,0.2771806125060786
공학1관_앞,기숙사_오르막길6,0.27713351588020935
공학1관_앞,기숙사_오르막길_멀베리1,0.2758656398437824
공학1관_앞,기숙사_오르막길_멀베리2,0.27187353325777364
공학1관_앞,기숙사_오르막길_멀베리3,0.2680775916815661
공학1관_앞_1,공학1관_앞_0,0.027441757400763902
공학1관_앞_1,공학1관_앞,0.02535462705208834
공학1관_앞_1,공학1관_앞_2,0.006338656579736559
공학1관_앞_1,공학1관_앞_3,0.012677313281894425
공학1관_앞_1,공학1관_앞_4,0.019015970104713655
공학1관_앞_1,본관_상경 삼거리,0.006338656458733552
공학1관_앞_1,본관_상경_삼거리2,0.024618025594460732
공학1관_앞_1,농구장_상경11,0.01852390445245619
공학1관_앞_1,농구장_상경12,0.012430477107251417
공학1관_앞_1,농구장_상경_보의관1,0.04820377346583083
공학1관_앞_1,농구장_상경_보의관2,0.04144990011131091
공학1관_앞_1,농구장_상경_보의관3,0.035264482274804804
공학1관_앞_1,농구장_상경_보의관4,0.030001205312872977
공학1관_앞_1,농구장_상경_보의관5,0.02622136764433359
공학1관_앞_1,상경_보의관1,0.05531828188001926
공학1관_앞_1,상경_보의관2,0.0599463195207541
공학1관_앞_1,상경_보의관3,0.06544393435938531
공학1관_앞_1,상경_보의관4,0.0716111322527487
공학1관_앞_1,상경_보의관5,0.07828983567259305
공학1관_앞_1,상경_보의관6,0.08536006594108898
공학1관_앞_1,상경_보의관_삼거리,0.092733712100837
공학1관_앞_1,보의관_조형_흡연구역1,0.16899490723703128
공학1관_앞_1,보의관_조형_흡연구역1_1,0.18891661214802313
공학1관_앞_1,보의관_조형_흡연구역1_2,0.18343655829627095
공학1관_앞_1,보의관_조형_흡연구역1_3,0.17827066824521223
공학1관_앞_1,보의관_조형_흡연구역1_4,0.1734470151637924
공학1관_앞_1,보의관_조형1,0.16020729050383312
공학1관_앞_1,보의관_조형2,0.1515677749572808
공학1관_앞_1,보의관_조형3,0.1431031873346876
공학1관_앞_1,보의관_조형4,0.1348464738805548
공학1관_앞_1,보의관_조형5,0.12683823717847012
공학1관_앞_1,보의관_조형6,0.1191285987182329
공학1관_앞_1,보의관_조형7,0.11177936084185829
공학1관_앞_1,보의관_조형8,0.1048663242987076
공학1관_앞_1,보의관_조형9,0.098481391876221
공학1관_앞_1,인사관_조형학관,0.1946843019373835
공학1관_앞_1,멀베리1,0.2415344289774133
공학1관_앞_1,멀베리2,0.23208331737308607
공학1관_앞_1,멀베리3,0.22279515730831184
공학1관_앞_1,멀베리4,0.204075356960473
공학1관_앞_1,인사관_디정관23,0.2136911984722084
공학1관_앞_1,멀베리_삼거리,0.2511300947431876
공학1관_앞_1,기숙사_오르막길,0.26907596363835673
공학1관_앞_1,기숙사_오르막길1,0.27088160607803435
공학1관_앞_1,제2엘림생활관,0.25324634766141774
공학1관_앞_1,2관_입구,0.2620555036329202
공학1관_앞_1,기숙사_오르막길2,0.2686843780807691
공학1관_앞_1,기숙사_오르막길3,0.2685701274306549
공학1관_앞_1,기숙사_오르막길4,0.26873356560033274
공학1관_앞_1,기숙사_오르막길5,0.269174186953987
공학1관_앞_1,기숙사_오르막길6,0.26989063409328357
공학1관_앞_1,기숙사_오르막길_멀베리1,0.26431509949254745
공학1관_앞_1,기숙사_오르막길_멀베리2,0.2597307827032001
공학1관_앞_1,기숙사_오르막길_멀베리3,0.25533252256072286
공학1관_앞_2,공학1관_앞_0,0.0219347114164821
공학1관_앞_2,공학1관_앞,0.019015970470899514
공학1관_앞_2,공학1관_앞_1,0.006338656579736559
공학1관_앞_2,공학1관_앞_3,0.006338656701798817
공학1관_앞_2,공학1관_앞_4,0.01267731352460477
공학1관_앞_2,본관_상경 삼거리,0.01267731303882847
공학1관_앞_2,본관_상경_삼거리2,0.0309530114138397
공학1관_앞_2,농구장_상경11,0.024859861013828168
공학1관_앞_2,농구장_상경12,0.018767800492997384
공학1관_앞_2,농구장_상경_보의관1,0.051736733004795046
공학1관_앞_2,농구장_상경_보의관2,0.04550792215678924
공학1관_앞_2,농구장_상경_보의관3,0.039953117069212916
공학1관_앞_2,농구장_상경_보의관4,0.03539111988686117
공학1관_앞_2,농구장_상경_보의관5,0.03224609217291399
공학1관_앞_2,상경_보의관1,0.058424371464585
공학1관_앞_2,상경_보의관2,0.06370835675054218
공학1관_앞_2,상경_보의관3,0.06971370498236758
공학1관_앞_2,상경_보의관4,0.07627021043294126
공학1관_앞_2,상경_보의관5,0.08324774905451905
공학1관_앞_2,상경_보의관6,0.0905490409868174
공학1관_앞_2,상경_보의관_삼거리,0.09810331274105241
공학1관_앞_2,보의관_조형_흡연구역1,0.1719705829366273
공학1관_앞_2,보의관_조형_흡연구역1_1,0.19280639868959704
공학1관_앞_2,보의관_조형_흡연구역1_2,0.18712626052355794
공학1관_앞_2,보의관_조형_흡연구역1_3,0.18174196829464692
공학1관_앞_2,보의관_조형_흡연구역1_4,0.17668057158072883
공학1관_앞_2,보의관_조형1,0.16334622603947538
공학1관_앞_2,보의관_조형2,0.15488516744754727
공학1관_앞_2,보의관_조형3,0.14661568171637343
공학1관_앞_2,보의관_조형4,0.13857207070546784
공학1관_앞_2,보의관_조형5,0.1307960136445161
공학1관_앞_2,보의관_조형6,0.1233381265935958
공학1관_앞_2,보의관_조형7,0.11625965665245443
공학1관_앞_2,보의관_조형8,0.10963411966195366
공학1관_앞_2,보의관_조형9,0.1035484953383922
공학1관_앞_2,인사관_조형학관,0.19875702005028847
공학1관_앞_2,멀베리1,0.2448319795225085
공학1관_앞_2,멀베리2,0.23551894213873367
공학1관_앞_2,멀베리3,0.22637772925705485
공학1관_앞_2,멀베리4,0.20797567247438803
공학1관_앞_2,인사관_디정관23,0.21743001393126887
공학1관_앞_2,멀베리_삼거리,0.2542979638186321
공학1관_앞_2,기숙사_오르막길,0.27163807715261756
공학1관_앞_2,기숙사_오르막길1,0.2722935294948799
공학1관_앞_2,제2엘림생활관,0.25476209143877515
공학1관_앞_2,2관_입구,0.2635176523188508
공학1관_앞_2,기숙사_오르막길2,0.27106011567054245
공학1관_앞_2,기숙사_오르막길3,0.2707565791902858
공학1관_앞_2,기숙사_오르막길4,0.2707283909385217
공학1관_앞_2,기숙사_오르막길5,0.2709756370348829
공학1관_앞_2,기숙사_오르막길6,0.27149756516639206
공학1관_앞_2,기숙사_오르막길_멀베리1,0.2670239357206403
공학1관_앞_2,기숙사_오르막길_멀베리2,0.26258966023903746
공학1관_앞_2,기숙사_오르막길_멀베리3,0.2583445124017494
공학1관_앞_3,공학1관_앞_0,0.017016763989777663
공학1관_앞_3,공학1관_앞,0.01267731376978872
공학1관_앞_3,공학1관_앞_1,0.012677313281894425
공학1관_앞_3,공학1관_앞_2,0.006338656701798817
공학1관_앞_3,공학1관_앞_4,0.0063386568231551844
공학1관_앞_3,본관_상경 삼거리,0.019015969739939954
공학1관_앞_3,본관_상경_삼거리2,0.03728924492533744
공학1관_앞_3,농구장_상경11,0.031196914637208594
공학1관_앞_3,농구장_상경12,0.02510579711992577
공학1관_앞_3,농구장_상경_보의관1,0.055768560131861704
공학1관_앞_3,농구장_상경_보의관2,0.05004202993644823
공학1관_앞_3,농구장_상경_보의관3,0.04504749125004917
공학1관_앞_3,농구장_상경_보의관4,0.04105298398584215
공학1관_앞_3,농구장_상경_보의관5,0.03837209806683012
공학1관_앞_3,상경_보의관1,0.06202466456243664
공학1관_앞_3,상경_보의관2,0.06785503061201925
공학1관_앞_3,상경_보의관3,0.07427953786313801
공학1관_앞_3,상경_보의관4,0.08115720980145934
공학1관_앞_3,상경_보의관5,0.08838231748083861
공학1관_앞_3,상경_보의관6,0.09587634619055382
공학1관_앞_3,상경_보의관_삼거리,0.10358250601402044
공학1관_앞_3,보의관_조형_흡연구역1,0.17512521441223605
공학1관_앞_3,보의관_조형_흡연구역1_1,0.19682348695727098
공학1관_앞_3,보의관_조형_흡연구역1_2,0.1909551267881501
공학1관_앞_3,보의관_조형_흡연구역1_3,0.18536507635243685
공학1관_앞_3,보의관_조형_흡연구역1_4,0.1800792555671412
공학1관_앞_3,보의관_조형1,0.166667212831869
공학1관_앞_3,보의관_조형2,0.15838685697493704
공학1관_앞_3,보의관_조형3,0.15031350817247585
공학1관_앞_3,보의관_조형4,0.14248235958041203
