"지정관_21세기9",36.9102,127.1451
"지정관_21세기10",36.9102,127.1452
"지정관_21세기11",36.9103,127.1453
"지정관_21세기12",36.9103,127.1454
"지정관_21세기13",36.9103,127.1455
"지정관_21세기14",36.9103,127.1456
"지정관_21세기15",36.9103,127.1457
"지정관_21세기_체육관_사거리",36.9103,127.1458
"21세기_주차장1",36.9101,127.1452
"21세기_주차장2",36.9101,127.1453
"21세기_주차장3",36.9100,127.1453
"21세기_주차장4",36.9099,127.1453
"21세기_주차장5",36.9098,127.1453
"21세기_주차장6",36.9098,127.1452
"21세기_주차장7",36.9098,127.1451
"21세기_주차장8",36.9098,127.1450111
"21세기_주차장9",36.9098,127.1449
"21세기_주차장10",36.9098,127.1447
"21세기_주차장11",36.9098,127.1447
"21세기_주차장12",36.9097,127.1446
"21세기_주차장13",36.9097,127.1445
"21세기_주차장14",36.9097,127.1443
"21세기_주차장_계단",36.9097,127.1442
"21세기_계단_학복관",36.9097,127.1441
"21세기_계단_디정관",36.9098,127.1453
"학복관_디정관1",36.9096,127.1441
"학복관_디정관2",36.9096,127.1442
"학복관_디정관3",36.9096,127.1443
"학복관_디정관4",36.9096,127.1444
"학복관_디정관5",36.9096,127.1445
"학복관_디정관6",36.9096,127.1446
"학복관_디정관7",36.9097,127.1447
"학복관_디정관8",36.9097,127.1448
"학복관_디정관9",36.9097,127.1450
"학복관_디정관10",36.9097,127.1451
"학복관_디정관11",36.9097,127.1452
"학복관_디정관12",36.9097,127.1453
"학복관_디정관13",36.9097,127.1454
"인사관_디정관1",36.9097,127.1454
"인사관_디정관2",36.9096,127.1454
"인사관_디정관3",36.9096,127.1455
"인사관_디정관4",36.9095,127.1455
"인사관_디정관5",36.9094,127.1455
"인사관_디정관6",36.9094,127.1456
"인사관_디정관7",36.9093,127.1456
"인사관_디정관8",36.9092,127.1456
"인사관_디정관9",36.9091,127.1456
"인사관_디정관10",36.9090,127.1456
